Id,Date,DayOfWeek,TotalTimeInBed_Hours,TotalTimeAsleep_Hours,SleepEfficiency,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,DayType
1503960366,2016-04-26,3,4.57,4.08,0.892778993,31,23,279,333,833,Weekday
1503960366,2016-05-03,3,4.93,4.55,0.922920892,50,24,254,328,816,Weekday
1503960366,2016-04-25,2,5.38,4.62,0.858736059,73,14,216,303,814,Weekday
1503960366,2016-05-09,2,5.7,5.63,0.987719298,46,11,206,263,835,Weekday
1503960366,2016-04-21,5,6.07,5.42,0.89291598,19,8,211,238,838,Weekday
1503960366,2016-05-10,3,6.72,6.38,0.949404762,46,31,214,291,746,Weekday
1503960366,2016-04-30,7,7.08,6.73,0.950564972,52,34,217,303,712,Weekend
1503960366,2016-04-15,6,7.37,6.87,0.932157395,29,34,209,272,726,Weekday
1503960366,2016-05-06,6,6.12,5.57,0.910130719,24,6,289,319,754,Weekday
1503960366,2016-05-01,1,6.6,6.15,0.931818182,33,35,246,314,730,Weekend
1503960366,2016-05-02,2,5.15,4.62,0.897087379,41,15,277,333,798,Weekday
1503960366,2016-04-13,4,6.78,6.4,0.943952802,21,19,217,257,776,Weekday
1503960366,2016-04-28,5,6.55,6.1,0.93129771,48,28,189,265,782,Weekday
1503960366,2016-05-07,7,5.82,5.52,0.948453608,37,46,175,258,833,Weekend
1503960366,2016-04-23,7,6.4,6.02,0.940625,41,21,262,324,732,Weekend
1503960366,2016-04-19,3,5.33,5.07,0.951219512,50,31,264,345,775,Weekday
1503960366,2016-04-24,1,7.48,7.17,0.95855615,39,5,238,282,709,Weekend
1503960366,2016-04-12,3,5.77,5.45,0.944540728,25,13,328,366,728,Weekday
1503960366,2016-04-17,1,11.87,11.67,0.9831508,38,20,164,222,539,Weekend
1503960366,2016-05-05,5,4.4,4.12,0.936363636,45,24,250,319,857,Weekday
1503960366,2016-05-08,1,10.18,9.9,0.972495088,44,8,203,255,574,Weekend
1503960366,2016-05-11,4,5.1,4.75,0.931372549,36,23,251,310,669,Weekday
1503960366,2016-04-20,4,6.28,6,0.955414013,28,12,205,245,818,Weekday
1503960366,2016-04-16,7,6.12,5.67,0.926470588,36,10,221,267,773,Weekend
2026352035,2016-04-12,3,9.1,8.38,0.920879121,3,8,181,192,706,Weekday
2347167796,2016-04-25,2,7.85,7.22,0.919745223,15,11,277,303,653,Weekday
2347167796,2016-04-13,4,8.85,7.78,0.879096045,19,32,195,246,676,Weekday
2347167796,2016-04-21,5,8.07,7.67,0.950433705,23,26,208,257,761,Weekday
2347167796,2016-04-18,2,9.28,8.33,0.89762931,11,16,206,233,678,Weekday
2347167796,2016-04-14,5,8.15,7.42,0.910429448,1,48,206,255,705,Weekday
2347167796,2016-04-27,4,8.32,7.47,0.897836538,26,9,295,330,623,Weekday
2347167796,2016-04-23,7,6.43,6.23,0.968895801,32,35,360,427,591,Weekend
2347167796,2016-04-22,6,7.68,6.75,0.87890625,9,27,206,242,781,Weekday
3977333714,2016-04-22,6,7.93,5.92,0.746532156,33,12,188,233,731,Weekday
3977333714,2016-04-30,7,6.37,3.95,0.620094192,43,52,194,289,687,Weekend
3977333714,2016-05-05,5,8,5.3,0.6625,14,88,178,280,680,Weekday
3977333714,2016-04-19,3,6.58,3.65,0.554711246,19,67,221,307,738,Weekday
3977333714,2016-05-06,6,8.53,5.38,0.630715123,29,55,168,252,676,Weekday
3977333714,2016-04-25,2,7.78,4.37,0.561696658,50,9,133,192,781,Weekday
3977333714,2016-04-29,6,7.97,5.55,0.696361355,36,32,150,218,744,Weekday
3977333714,2016-05-01,1,10.43,6.38,0.611697028,41,40,124,205,691,Weekend
3977333714,2016-04-18,2,8.7,6.87,0.789655172,4,95,214,313,605,Weekday
3977333714,2016-04-15,6,9.27,7.07,0.762675297,15,42,183,240,644,Weekday
3977333714,2016-05-04,4,5.6,3.55,0.633928571,14,96,142,252,852,Weekday
3977333714,2016-05-02,2,6.4,3.83,0.5984375,24,143,176,343,713,Weekday
3977333714,2016-04-14,5,6.62,4.85,0.732628399,5,23,214,242,801,Weekday
3977333714,2016-04-26,3,6.18,4.17,0.674757282,7,95,170,272,797,Weekday
3977333714,2016-04-17,1,9.43,6.35,0.673382821,11,58,205,274,600,Weekend
3977333714,2016-05-03,3,8.33,4.87,0.584633854,47,41,258,346,594,Weekday
3977333714,2016-04-24,1,8.77,5.17,0.589509692,30,95,129,254,660,Weekend
3977333714,2016-04-12,3,7.82,4.57,0.584398977,44,19,131,194,777,Weekday
4020332650,2016-04-16,7,1.28,1.28,1,65,21,55,141,1222,Weekend
4020332650,2016-05-04,4,8.93,7.97,0.8924972,13,46,346,405,531,Weekday
4020332650,2016-05-05,5,4.13,3.77,0.91283293,38,42,196,276,916,Weekday
4319703577,2016-04-26,3,8.6,8.42,0.979069767,8,21,288,317,649,Weekday
4319703577,2016-04-27,4,5.12,4.77,0.931640625,6,47,300,353,680,Weekday
4319703577,2016-04-29,6,9.1,8.72,0.958241758,6,18,289,313,624,Weekday
4319703577,2016-04-14,5,9.28,8.92,0.961206897,1,9,339,349,589,Weekday
4319703577,2016-05-03,3,8.53,7.9,0.926143025,8,26,287,321,669,Weekday
4319703577,2016-05-07,7,8.83,8.45,0.956964892,3,28,279,310,586,Weekend
4319703577,2016-05-06,6,8.18,7.5,0.916870416,6,11,314,331,692,Weekday
4319703577,2016-04-30,7,8.6,8.17,0.95,6,38,196,240,695,Weekend
4388161847,2016-05-02,2,6.27,6.13,0.977671451,33,4,204,241,935,Weekday
4388161847,2016-04-18,2,1.73,1.65,0.953757225,27,8,239,274,1017,Weekday
4388161847,2016-04-27,4,8.33,7.32,0.878751501,11,48,241,300,684,Weekday
4388161847,2016-04-30,7,7.17,6.82,0.951185495,14,43,300,357,537,Weekend
4388161847,2016-04-22,6,1.42,1.37,0.964788732,77,25,220,322,945,Weekday
4388161847,2016-05-10,3,6.25,5.9,0.944,13,14,267,294,648,Weekday
4388161847,2016-04-28,5,7.63,7.13,0.934469201,19,9,234,262,878,Weekday
4388161847,2016-04-20,4,7.52,7.02,0.933510638,19,42,228,289,696,Weekday
4388161847,2016-04-24,1,9.92,9.2,0.927419355,14,8,239,261,584,Weekend
4388161847,2016-04-23,7,8.35,7.97,0.954491018,58,5,215,278,749,Weekend
4388161847,2016-04-26,3,5.77,5.32,0.922010399,14,23,224,261,673,Weekday
4388161847,2016-05-07,7,8.27,7.87,0.951632406,120,56,260,436,508,Weekend
4388161847,2016-05-08,1,9.02,8.82,0.977827051,107,38,178,323,576,Weekend
4445114986,2016-05-02,2,9.03,8.37,0.926910299,27,4,200,231,667,Weekday
4445114986,2016-05-07,7,7.27,6.68,0.918844567,26,4,108,138,866,Weekend
4445114986,2016-05-11,4,8.83,8.32,0.942242356,34,22,232,288,622,Weekday
4445114986,2016-05-05,5,8.55,7.7,0.900584795,2,6,185,193,734,Weekday
4445114986,2016-04-26,3,6.52,5.88,0.901840491,29,1,180,210,839,Weekday
4445114986,2016-05-03,3,7.5,6.95,0.926666667,30,2,233,265,725,Weekday
4445114986,2016-04-27,4,6.23,5.53,0.887640449,32,1,194,227,839,Weekday
4558609924,2016-04-26,3,2.02,1.72,0.851485149,12,41,283,336,1062,Weekday
4558609924,2016-04-21,5,2.28,2.1,0.921052632,6,21,432,459,844,Weekday
4558609924,2016-05-08,1,2.23,2.05,0.919282511,66,35,238,339,1019,Weekend
4558609924,2016-04-29,6,2.98,2.85,0.956375839,15,29,197,241,1096,Weekday
4702921684,2016-04-21,5,7.23,7.08,0.979253112,4,41,144,189,901,Weekday
4702921684,2016-04-17,1,10.2,9.85,0.965686275,12,66,302,380,437,Weekend
4702921684,2016-04-30,7,8.35,7.98,0.955688623,4,36,263,303,728,Weekend
4702921684,2016-05-05,5,7.13,6.9,0.967741935,8,5,241,254,745,Weekday
4702921684,2016-04-24,1,8.43,8,0.948991696,15,95,281,391,542,Weekend
4702921684,2016-04-18,2,5.2,4.88,0.938461538,22,30,191,243,890,Weekday
4702921684,2016-04-27,4,7.48,7.2,0.962566845,1,16,238,255,733,Weekday
4702921684,2016-04-23,7,7.92,7.75,0.978535354,9,66,408,483,469,Weekend
4702921684,2016-05-11,4,6.1,5.9,0.967213115,10,41,235,286,784,Weekday
4702921684,2016-04-16,7,6.77,6.37,0.940915805,3,24,335,362,556,Weekend
4702921684,2016-04-25,2,6.33,6.17,0.974723539,6,15,270,291,730,Weekday
4702921684,2016-04-19,3,8.12,7.62,0.938423645,10,8,179,197,757,Weekday
4702921684,2016-04-28,5,7.68,7.37,0.959635417,14,9,232,255,738,Weekday
4702921684,2016-04-20,4,7.8,7.57,0.970512821,2,29,260,291,717,Weekday
5553957443,2016-05-12,5,7.92,7.3,0.921717172,8,6,48,62,222,Weekday
5553957443,2016-04-26,3,7.55,6.87,0.909933775,40,18,238,296,750,Weekday
5553957443,2016-05-03,3,7.15,6.33,0.885314685,26,29,247,302,812,Weekday
5553957443,2016-04-15,6,6.82,6.28,0.920821114,58,38,239,335,689,Weekday
5553957443,2016-05-10,3,7.38,6.97,0.944444444,61,40,265,366,707,Weekday
5553957443,2016-04-21,5,7.18,6.65,0.926183844,47,42,177,266,801,Weekday
5553957443,2016-04-19,3,6.83,5.95,0.871156662,69,28,249,346,756,Weekday
5553957443,2016-04-25,2,7.8,7.22,0.925641026,51,11,201,263,732,Weekday
5553957443,2016-05-06,6,7.23,6.67,0.922544952,21,9,229,259,761,Weekday
5553957443,2016-04-28,5,7.62,7.02,0.921259843,49,13,165,227,727,Weekday
5553957443,2016-05-08,1,10.13,9.47,0.934846989,3,8,210,221,505,Weekend
5553957443,2016-05-09,2,8.23,7.55,0.917375456,59,22,251,332,667,Weekday
5553957443,2016-04-14,5,6.97,5.95,0.853658537,61,41,256,358,693,Weekday
5553957443,2016-05-05,5,7.73,6.98,0.90297542,44,29,241,314,692,Weekday
5553957443,2016-04-22,6,5.88,5.37,0.913265306,25,16,270,311,781,Weekday
5553957443,2016-04-27,4,6.52,5.78,0.886503067,16,16,206,238,745,Weekday
5577150313,2016-04-12,3,7.3,6.98,0.956164384,86,16,140,242,728,Weekday
5577150313,2016-04-25,2,7.68,7.02,0.9140625,61,38,214,313,743,Weekday
5577150313,2016-05-10,3,9.37,8.4,0.896478122,104,37,194,335,639,Weekday
5577150313,2016-04-22,6,6.1,5.63,0.92295082,62,30,200,292,823,Weekday
5577150313,2016-04-20,4,8,7.45,0.93125,87,16,113,216,773,Weekday
5577150313,2016-04-26,3,6.28,5.9,0.939490446,38,32,181,251,759,Weekday
5577150313,2016-05-02,2,9.22,8.75,0.949023861,37,20,235,292,732,Weekday
5577150313,2016-04-23,7,6.7,6.4,0.955223881,24,24,223,271,627,Weekend
5577150313,2016-04-28,5,6.2,6.02,0.970967742,99,51,141,291,692,Weekday
5577150313,2016-04-13,4,7.63,7.2,0.943643512,15,11,144,170,776,Weekday
5577150313,2016-04-19,3,7.75,7.48,0.96516129,108,23,111,242,733,Weekday
5577150313,2016-04-17,1,9.72,9.15,0.941358025,200,37,159,396,525,Weekend
5577150313,2016-05-04,4,10.57,10.05,0.950804163,25,9,141,175,631,Weekday
5577150313,2016-04-14,5,8.28,7.95,0.960144928,118,30,176,324,662,Weekday
5577150313,2016-04-18,2,9.22,8.78,0.952277657,114,32,130,276,623,Weekday
5577150313,2016-04-24,1,10.25,9.05,0.882926829,210,65,141,416,425,Weekend
5577150313,2016-05-03,3,9.05,8.47,0.935911602,97,8,212,317,580,Weekday
5577150313,2016-04-21,5,7.28,6.9,0.947802198,110,74,175,359,670,Weekday
5577150313,2016-04-15,6,6.88,6.53,0.949127907,115,54,199,368,695,Weekday
5577150313,2016-04-30,7,7.22,6.87,0.951523546,207,45,163,415,621,Weekend
5577150313,2016-04-27,4,7.53,7.07,0.938911023,63,16,190,269,773,Weekday
5577150313,2016-05-11,4,7.93,7.18,0.905422446,45,15,63,123,257,Weekday
5577150313,2016-04-29,6,8.08,7.65,0.946782178,97,36,165,298,739,Weekday
5577150313,2016-04-16,7,7.42,6.77,0.912398922,184,56,158,398,472,Weekend
5577150313,2016-05-05,5,1.3,1.23,0.946153846,45,21,143,209,1153,Weekday
5577150313,2016-05-01,1,6.63,6.32,0.953242836,194,72,178,444,499,Weekend
6117666160,2016-04-21,5,9.17,8.47,0.923664122,11,19,294,324,579,Weekday
6117666160,2016-04-16,7,6.63,6.33,0.954751131,7,15,518,540,502,Weekend
6775888955,2016-04-13,4,4.33,3.92,0.905311778,17,18,85,120,1053,Weekday
6775888955,2016-04-14,5,7.35,7.05,0.959183673,14,24,105,143,863,Weekday
6962181067,2016-04-23,7,9.1,8.8,0.967032967,58,41,347,446,484,Weekend
6962181067,2016-05-05,5,8.18,7.78,0.951100244,14,22,305,341,591,Weekday
6962181067,2016-04-13,4,11.32,10.5,0.927561837,8,24,142,174,548,Weekday
6962181067,2016-04-19,3,8.92,7.93,0.889013453,35,41,195,271,659,Weekday
6962181067,2016-04-20,4,7.07,6.97,0.985855728,48,4,297,349,639,Weekday
6962181067,2016-04-25,2,6.92,6.67,0.963872832,35,31,282,348,637,Weekday
6962181067,2016-04-16,7,6.1,5.95,0.975409836,50,3,280,333,741,Weekend
6962181067,2016-05-10,3,8.02,7.82,0.975062344,62,34,275,371,626,Weekday
6962181067,2016-04-21,5,7.62,7.52,0.98687664,53,27,214,294,708,Weekday
6962181067,2016-04-27,4,7.78,7.58,0.974293059,7,38,279,324,697,Weekday
6962181067,2016-04-18,2,7.63,7.37,0.965923984,13,42,238,293,689,Weekday
6962181067,2016-04-28,5,7.55,7.33,0.970860927,38,8,288,334,621,Weekday
6962181067,2016-05-11,4,8,7.53,0.94125,24,7,199,230,709,Weekday
6962181067,2016-04-30,7,7.07,7.03,0.994342291,32,16,237,285,731,Weekend
6962181067,2016-04-12,3,6.45,6.1,0.945736434,50,14,189,253,796,Weekday
6962181067,2016-05-03,3,6.97,6.57,0.942611191,21,36,267,324,654,Weekday
6962181067,2016-04-22,6,7.25,7.08,0.976551724,30,33,240,303,659,Weekday
6962181067,2016-04-26,3,7.43,7.35,0.98923284,36,7,254,297,680,Weekday
6962181067,2016-05-04,4,7.58,7.37,0.972295515,15,36,284,335,683,Weekday
6962181067,2016-05-09,2,8.28,8.15,0.984299517,43,21,231,295,607,Weekday
6962181067,2016-05-02,2,8.03,7.77,0.96762142,18,39,313,370,655,Weekday
6962181067,2016-04-29,6,7.45,7.22,0.969127517,12,15,369,396,645,Weekday
7086361926,2016-04-20,4,8.37,8.2,0.979689367,87,13,145,245,797,Weekday
7086361926,2016-04-27,4,7.98,7.82,0.979949875,55,6,145,206,829,Weekday
7086361926,2016-05-07,7,9.13,8.83,0.967141292,20,42,209,271,621,Weekend
7086361926,2016-05-11,4,7.72,7.52,0.974093264,57,40,128,225,757,Weekday
7086361926,2016-04-15,6,6.43,6.28,0.976671851,30,21,139,190,864,Weekday
7086361926,2016-04-22,6,7.47,7.13,0.954484605,58,59,153,270,762,Weekday
7086361926,2016-04-19,3,8.05,7.87,0.977639752,67,69,124,260,671,Weekday
7086361926,2016-04-30,7,8.15,8.08,0.991411043,42,17,308,367,584,Weekend
7086361926,2016-05-03,3,7.68,7.6,0.989583333,57,36,152,245,761,Weekday
7086361926,2016-05-01,1,6.78,6.47,0.954277286,30,15,258,303,685,Weekend
7086361926,2016-04-21,5,6.85,6.5,0.948905109,19,6,206,231,758,Weekday
7086361926,2016-04-25,2,7.45,7.43,0.997315436,69,39,129,237,706,Weekday
7086361926,2016-05-04,4,7.27,7,0.962861073,45,12,135,192,843,Weekday
7086361926,2016-05-12,5,7.62,7.4,0.971128609,5,4,58,67,343,Weekday
7086361926,2016-05-02,2,7.65,7.33,0.958169935,66,26,139,231,737,Weekday
7086361926,2016-04-13,4,7.75,7.52,0.970322581,31,26,155,212,744,Weekday
7086361926,2016-05-08,1,8.5,8.02,0.943529412,32,27,147,206,695,Weekend
7086361926,2016-05-06,6,5.55,5.37,0.967567568,84,35,154,273,834,Weekday
7086361926,2016-04-12,3,8.75,8.57,0.979428571,59,6,153,218,745,Weekday
7086361926,2016-05-09,2,7.3,7.12,0.975342466,67,50,171,288,743,Weekday
7086361926,2016-04-26,3,8.33,8.08,0.969987995,70,33,132,235,726,Weekday
8053475328,2016-04-20,4,8.22,8.1,0.98540146,89,5,158,252,695,Weekday
8053475328,2016-05-07,7,1.25,1.23,0.984,121,20,148,289,1076,Weekend
8053475328,2016-04-23,7,5.62,5.52,0.982206406,125,14,223,362,741,Weekend
8378563200,2016-04-28,5,9.27,8.43,0.909385113,11,10,139,160,711,Weekday
8378563200,2016-04-23,7,9.85,9.42,0.956345178,19,10,136,165,740,Weekend
8378563200,2016-05-09,2,6.65,5.98,0.89924812,71,13,171,255,772,Weekday
8378563200,2016-05-01,1,8.98,7.92,0.881959911,71,10,127,208,669,Weekend
8378563200,2016-05-06,6,5.92,5.38,0.908783784,74,5,166,245,831,Weekday
8378563200,2016-04-20,4,6.82,6.35,0.931085044,82,8,169,259,763,Weekday
8378563200,2016-04-29,6,9.37,8.78,0.937033084,3,7,172,182,767,Weekday
8378563200,2016-04-16,7,11.48,10.18,0.886759582,64,21,142,227,563,Weekend
8378563200,2016-04-22,6,7.82,7.35,0.939897698,113,12,159,284,769,Weekday
8378563200,2016-04-13,4,8.12,7.45,0.917487685,116,14,169,299,680,Weekday
8378563200,2016-05-10,3,6.52,5.7,0.874233129,63,13,152,228,840,Weekday
8378563200,2016-05-11,4,6.45,6.13,0.950387597,72,10,184,266,763,Weekday
8378563200,2016-04-14,5,7.58,7.07,0.932717678,123,21,174,318,699,Weekday
8378563200,2016-04-21,5,6.95,6.6,0.949640288,137,16,145,298,677,Weekday
8378563200,2016-04-12,3,5.93,5.63,0.949409781,65,15,156,236,723,Weekday
8378563200,2016-05-04,4,7.95,7.35,0.924528302,19,10,167,196,680,Weekday
8378563200,2016-05-12,5,9.1,8.27,0.908791209,8,6,102,116,433,Weekday
8378563200,2016-04-26,3,9.73,9.17,0.942446043,90,18,161,269,593,Weekday
8378563200,2016-04-15,6,8.88,8.55,0.962837838,60,23,190,273,729,Weekday
8378563200,2016-04-19,3,7.02,6.45,0.918803419,120,19,154,293,737,Weekday
